FIPS,PCT_LACCESS_POP10,PCT_LACCESS_LOWI10,PCT_LACCESS_CHILD10,PCT_LACCESS_SENIORS10,PCT_LACCESS_HHNV10,GROCPTH07,SUPERCPTH07,CONVSPTH07,SPECSPTH07,SNAPSPTH08,WICSPTH08,FFRPTH07,FSRPTH07,PC_FFRSALES07,PC_FSRSALES07,PCT_SNAP09,SNAP_PART_RATE10,SNAP_OAPP10,SNAP_FACEWAIVER10,SNAP_VEHEXCL10,SNAP_BBCE10,SNAP_REPORTSIMPLE10,PCT_NSLP09,PCT_FREE_LUNCH10,PCT_REDUCED_LUNCH10,PCT_SBP09,PCT_SFSP09,PCT_WIC09,PCT_CACFP09,FOODINSEC_07_09,VLFOODSEC_07_09,FOODINSEC_CHILD_01_07,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,PCT_LOCLFARM07,FMRKTPTH09,VEG_FARMS07,FRESHVEG_FARMS07,ORCHARD_FARMS07,BERRY_FARMS07,SLHOUSE07,GHVEG_FARMS07,CSA07,AGRITRSM_OPS07,FARM_TO_SCHOOL,RECFACPTH07,NATAMEN,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC10,POVRATE10,PERPOV10,CHILDPOVRATE10,PERCHLDPOV10,METRO13,POPLOSS00,PCT_OBESE_ADULTS10
50001,2.42918956753834,1.10845351966577,0.5944380316996271,0.31974470733566696,1.92034181131785,0.4628873277786855,0.0,0.980231988237216,0.08168599901976804,0.4557699110228293,0.0,0.3539726624189947,0.8440886565376028,402.0978044666219,671.4633220931397,11.600135100360268,98.0,1.0,1.0,1,1,1,8.823179361811631,25.284151833583532,7.741797126313533,3.443290015440041,0.4767112712300566,2.8139475038600104,1.1473880597014925,13.6,6.2,6.4,1.1280620000000001,1.0312299999999999,1.011974,18.8,0.0816104461371056,45.0,40.0,43.0,26.0,2.0,6.0,12.0,7.0,1.0,0.24505799705930406,3.0,94.131067,0.730561,1.8603509999999999,1.423101,0.203688,0.013578999999999999,13.856223000000002,20.374243,51967,12,0,14.6,0,0,0,22.9
51195,9.4674078622748,4.973074339349299,1.7680659100078702,1.01656743486629,5.50695517185286,0.23967595810464254,0.0,0.4793519162092851,0.04793519162092851,0.7989198603488085,0.2157084,0.671092682692999,0.383481532967428,721.8231507597287,739.1472646451974,8.267904330936913,75.0,1.0,1.0,1,0,1,9.54900610078667,47.10743801652893,5.664913598797897,2.9735911673701163,0.6571190433601138,2.0316926289455624,0.7474066265022029,9.2,3.6,6.2,1.082025,0.9486629000000001,1.055159,3.9,0.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.023967595810464256,4.0,92.398437,5.1095239999999995,1.136254,0.340152,0.12303399999999999,0.004825,14.148895000000001,20.761363,36789,22.2,0,27.5,0,0,0,33.6
30103,99.99999999346839,39.9289100505258,18.6629525975024,23.8161560310643,5.3291535908633705,1.529051987767584,0.0,1.529051987767584,0.0,0.7692307692307692,3.076923,1.529051987767584,1.529051987767584,549.1850431447747,745.824350611564,9.48246595602617,75.0,0.0,0.0,1,1,1,8.887484884444849,20.87912087912088,12.087912087912088,2.625055257033669,0.6883154579179868,2.1203316139976964,1.4093492336836617,12.4,5.0,8.4,0.9400685,1.079599,0.8055444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,92.75766,0.0,3.481894,0.41782700000000006,0.8356549999999999,0.0,23.816156,18.662952999999998,39931,11.4,0,18.8,1,0,1,24.8
56031,20.7550381037376,6.71248121175223,4.17492561964382,4.46588016527544,1.86243057799431,0.35855145213338113,0.0,1.5537229592446509,0.0,0.4939316963025685,0.4838514,0.8366200549778893,1.4342058085335243,656.2086102774099,715.6356448797243,4.917044849063884,60.0,0.0,1.0,1,0,0,10.366913480441694,22.23107569721116,8.286852589641434,2.6229628676943433,0.4725595752108329,2.4506219339665973,1.751520385102982,9.8,3.6,9.0,0.9400685,1.079599,0.8055444,5.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,20.0,0.0,0.11951715071112705,5.0,91.242645,0.28845,6.69205,0.35767899999999997,0.33460300000000004,0.05769,20.733818,20.364601,44288,12,0,18,0,0,0,25.7
42075,18.7041075985598,3.6729682413169296,3.93152817667286,3.4322164750835404,1.7849998344357398,0.24181533109199124,0.015600989102709103,0.6864435205192008,0.10140642916760924,0.3963589116951014,0.13147520000000001,0.6162390695570099,0.631840058659719,452.12153614828173,587.9572714198633,10.613468697993387,84.0,1.0,1.0,1,1,1,9.130029932326398,27.459081519148263,5.641188622278722,2.310625813233993,0.7948580088787044,2.069685223058863,0.9792326982323432,11.8,4.4,7.2,1.147299,0.9556472,1.110635,10.1,0.0076624829509754295,52.0,50.0,29.0,26.0,3.0,3.0,6.0,6.0,0.0,0.13260840737302748,3.0,86.854636,1.597688,9.291148,1.126018,0.099575,0.02246,17.0168,23.033212,51142,11,0,17,0,1,0,32.0
18151,21.214009204371898,7.40779584121133,4.6460892665982305,2.96568130490311,3.52355377042466,0.35825173155003576,0.05970862192500598,1.3135896823501307,0.20898017673752092,0.4475875033569063,0.179035,0.6866491521375686,1.2240267494626222,652.9673208633851,565.7680267281311,11.002375327975702,73.0,0.5,1.0,1,0,1,12.270794550866535,37.0361503471391,8.666507062485037,3.2832366486468483,0.8580418871659272,2.6488246431286506,0.9536341646176862,12.3,4.8,6.2,0.795895,0.9343761,0.7880003000000001,5.3,0.0,8.0,8.0,9.0,0.0,0.0,1.0,6.0,5.0,0.0,0.11941724385001196,3.0,95.10896600000001,0.45341499999999996,2.872605,0.473892,0.236946,0.017552,14.889570999999998,22.919408999999998,45431,12.8,0,19.9,0,0,0,32.7
48453,28.946663914292497,7.98974081248004,7.80095038992516,2.2501401345331202,1.3615150196737098,0.1370460093335545,0.008243368982469444,0.9407744851243252,0.06903821522818161,0.3298913803630091,0.0490706,0.7645724731240411,0.7954851068083015,784.256146465872,658.5372403943636,12.118147862131613,65.0,1.0,1.0,0,1,1,13.131342681563645,48.680053741965935,5.901327813888183,6.1692331890717815,0.74045179499467,4.004688507145138,1.2247449813177165,17.4,6.4,12.6,1.003679,0.9831601000000001,0.9444155000000001,7.7,0.0087705791895595,23.0,23.0,61.0,4.0,4.0,2.0,12.0,29.0,1.0,0.10819421789491147,5.0,50.538044,8.084325999999999,33.464549,5.702033999999999,0.254914,0.052721000000000004,7.298788,23.92318,51905,18.8,0,24.5,0,1,0,23.7
29083,25.910714013386997,10.956195567890198,5.632400687237481,5.06854223900988,2.4129523072671204,0.13400035733428622,0.0446667857780954,0.9380025013400038,0.0446667857780954,0.8005953723332281,0.13531189999999998,0.8486689297838127,0.9380025013400036,623.5205428356501,617.3390065182529,13.376172009392777,89.0,0.0,0.0,1,0,1,10.776674382638731,44.48367166813768,8.796704913209767,3.9361812284762787,0.5794995640976822,2.507607414013675,1.0504410797016492,15.0,6.4,8.3,0.873642,0.9790413,0.8255146000000001,3.2,0.0450937950937951,11.0,11.0,9.0,5.0,1.0,0.0,7.0,6.0,0.0,0.0446667857780954,3.0,95.32148000000001,0.983297,1.6567889999999998,0.233477,0.453484,0.058369000000000004,19.5088,22.252155,37016,17.2,0,26.9,0,0,0,33.1
41005,16.804625401035402,3.1140332909492896,4.18319795092118,2.2877104504509,1.30055324504452,0.1490908122786934,0.026623359335480955,0.9025318814728044,0.08519474987353906,0.4655994166236042,0.1285317,0.6469476318521871,0.756103405127659,710.6891069997973,778.438293809053,15.187587386950788,100.0,0.0,1.0,1,1,1,8.124539131448532,29.46640080440377,6.15062119740273,3.6289453027283938,0.9558358211413098,2.9602235642139383,1.069123551850048,13.9,6.6,9.5,0.8551034,1.241477,0.6371948000000001,19.7,0.025897141732467002,156.0,148.0,329.0,256.0,2.0,14.0,22.0,19.0,0.0,0.14110380447804902,5.0,84.482649,0.734324,7.749633,3.6104489999999996,0.622354,0.21675999999999998,13.625556,23.732154,57960,10.4,0,13.2,0,1,0,26.1
5149,7.529794906077759,3.4823670659864305,1.48696129036151,1.54962480975656,2.78810113250332,0.2745744096650192,0.0,0.5033864177192019,0.04576240161083653,0.4995192596598762,0.1802776,0.4118616144975288,0.5033864177192019,576.2104436298348,444.9218223984439,14.229455432694804,72.0,0.0,1.0,1,0,1,12.180518783851598,62.8310502283105,9.657534246575343,5.373271729913998,0.6054439426188375,3.2569174064268283,1.5218813268961218,17.7,6.4,11.2,1.053402,0.9502338,1.025548,1.7,0.0,6.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,4.0,76.718503,1.298174,19.066937,1.253099,0.572459,0.009015,15.402299,26.283525,33522,20.3,0,30.2,0,0,0,32.5
